phone_number_e164,phone_number_formatted,phone_number_dashed,area_code,state_or_territory,pattern
+12012345678,(201) 234-5678,201-234-5678,201,New Jersey,ascending_from_2
+12013456789,(201) 345-6789,201-345-6789,201,New Jersey,ascending_from_3
+12014567890,(201) 456-7890,201-456-7890,201,New Jersey,ascending_from_4
+12015678901,(201) 567-8901,201-567-8901,201,New Jersey,ascending_from_5
+12016789012,(201) 678-9012,201-678-9012,201,New Jersey,ascending_from_6
+12017890123,(201) 789-0123,201-789-0123,201,New Jersey,ascending_from_7
+12018901234,(201) 890-1234,201-890-1234,201,New Jersey,ascending_from_8
+12019012345,(201) 901-2345,201-901-2345,201,New Jersey,ascending_from_9
+12012109876,(201) 210-9876,201-210-9876,201,New Jersey,descending_from_2
+12013210987,(201) 321-0987,201-321-0987,201,New Jersey,descending_from_3
+12014321098,(201) 432-1098,201-432-1098,201,New Jersey,descending_from_4
+12015432109,(201) 543-2109,201-543-2109,201,New Jersey,descending_from_5
+12016543210,(201) 654-3210,201-654-3210,201,New Jersey,descending_from_6
+12017654321,(201) 765-4321,201-765-4321,201,New Jersey,descending_from_7
+12018765432,(201) 876-5432,201-876-5432,201,New Jersey,descending_from_8
+12019876543,(201) 987-6543,201-987-6543,201,New Jersey,descending_from_9
+12015550100,(201) 555-0100,201-555-0100,201,New Jersey,fictional_555_01XX
+12015550101,(201) 555-0101,201-555-0101,201,New Jersey,fictional_555_01XX
+12015550102,(201) 555-0102,201-555-0102,201,New Jersey,fictional_555_01XX
+12015550103,(201) 555-0103,201-555-0103,201,New Jersey,fictional_555_01XX
+12015550104,(201) 555-0104,201-555-0104,201,New Jersey,fictional_555_01XX
+12015550105,(201) 555-0105,201-555-0105,201,New Jersey,fictional_555_01XX
+12015550106,(201) 555-0106,201-555-0106,201,New Jersey,fictional_555_01XX
+12015550107,(201) 555-0107,201-555-0107,201,New Jersey,fictional_555_01XX
+12015550108,(201) 555-0108,201-555-0108,201,New Jersey,fictional_555_01XX
+12015550109,(201) 555-0109,201-555-0109,201,New Jersey,fictional_555_01XX
+12015550110,(201) 555-0110,201-555-0110,201,New Jersey,fictional_555_01XX
