phone_number_e164,phone_number_formatted,phone_number_dashed,entity_name,entity_type,jurisdiction,level,office_type,source_url
+18008003855,(800) 800-3855,800-800-3855,"ATF (Bureau of Alcohol, Tobacco, Firearms and Explosives) main",agency,United States,federal,main,https://www.atf.gov/contact
+12026488500,(202) 648-8500,202-648-8500,ATF Headquarters Public Affairs,agency,United States,federal,public_affairs,https://www.atf.gov/contact/locations/contact-atf-headquarters
+12022281793,(202) 228-1793,202-228-1793,Architect of the Capitol,agency,United States,federal,main,https://www.aoc.gov/contact
+12022083710,(202) 208-3710,202-208-3710,Bureau of Indian Affairs (BIA),agency,United States,federal,main,https://www.bia.gov/
+12026916900,(202) 691-6900,202-691-6900,Bureau of Labor Statistics (BLS),agency,United States,federal,main,https://www.bls.gov/
+12022083801,(202) 208-3801,202-208-3801,Bureau of Land Management (BLM),agency,United States,federal,main,https://www.blm.gov/
+17037871300,(703) 787-1300,703-787-1300,Bureau of Ocean Energy Management (BOEM),agency,United States,federal,main,https://www.boem.gov/
+18772275511,(877) 227-5511,877-227-5511,CBP Information Center,agency,United States,federal,consumer,https://www.cbp.gov/contact
+12023258000,(202) 325-8000,202-325-8000,CBP from outside US,agency,United States,federal,intl_consumer,https://www.cbp.gov/contact
+14046397000,(404) 639-7000,404-639-7000,CDC main switchboard,agency,United States,federal,main,https://www.cdc.gov/contact/index.html
+18002324636,(800) 232-4636,800-232-4636,Centers for Disease Control (CDC) - CDC INFO,agency,United States,federal,info_line,https://www.cdc.gov/contact/index.html
+18772672323,(877) 267-2323,877-267-2323,Centers for Medicare & Medicaid Services (CMS),agency,United States,federal,main,https://www.cms.gov/about-cms/where-we-are/headquarters/main-contact-numbers
+12024185000,(202) 418-5000,202-418-5000,Commodity Futures Trading Commission (CFTC),regulator,United States,federal,main,https://www.cftc.gov/Contact/index.htm
+18554112372,(855) 411-2372,855-411-2372,Consumer Financial Protection Bureau (CFPB),regulator,United States,federal,consumer,https://www.consumerfinance.gov/about-us/contact-us/
+12023955084,(202) 395-5084,202-395-5084,Council of Economic Advisers (CEA),executive,United States,federal,main,https://www.whitehouse.gov/cea/
+12025143543,(202) 514-3543,202-514-3543,DOJ Antitrust Division,agency,United States,federal,division,https://www.justice.gov/atr
+12025144609,(202) 514-4609,202-514-4609,DOJ Civil Rights Division,agency,United States,federal,division,https://www.justice.gov/crt
+12025142401,(202) 514-2401,202-514-2401,DOJ Consumer Protection Branch,agency,United States,federal,branch,https://www.justice.gov/civil/consumer-protection-branch
+18008725327,(800) 872-5327,800-872-5327,Department of Education - 1-800-USA-LEARN,department,United States,federal,consumer,https://www.ed.gov/about/contact-us
+18008271000,(800) 827-1000,800-827-1000,Department of Veterans Affairs (VA) Main,department,United States,federal,main,https://www.va.gov/contact-us/
+12023071000,(202) 307-1000,202-307-1000,Drug Enforcement Administration (DEA),agency,United States,federal,main,https://www.dea.gov/who-we-are/contact-us
+12022720167,(202) 272-0167,202-272-0167,Environmental Protection Agency (EPA) HQ,regulator,United States,federal,main,https://www.epa.gov/aboutepa/mailing-addresses-and-phone-numbers
+18006694000,(800) 669-4000,800-669-4000,Equal Employment Opportunity Commission (EEOC),regulator,United States,federal,main,https://www.eeoc.gov/contact-eeoc
+18663226383,(866) 322-6383,866-322-6383,FAA Consumer Hotline (Aviation Consumer Protection),agency,United States,federal,consumer,https://www.transportation.gov/airconsumer
+12023243000,(202) 324-3000,202-324-3000,FBI Headquarters,agency,United States,federal,main,https://www.fbi.gov/contact-us/fbi-headquarters
+12022782000,(202) 278-2000,202-278-2000,FBI Washington Field Office,agency,United States,federal,field_office,https://www.fbi.gov/contact-us/field-offices/washingtondc
+18444322275,(844) 432-2275,844-432-2275,FCC ASL Video Call,regulator,United States,federal,asl,https://www.fcc.gov/consumers
+12024181400,(202) 418-1400,202-418-1400,FCC Consumer & Governmental Affairs Bureau (TCPA traceback),regulator,United States,federal,tcpa_bureau,https://www.fcc.gov/consumer-governmental-affairs-bureau
+18882255322,(888) 225-5322,888-225-5322,FCC Consumer Complaints (1-888-CALL-FCC),regulator,United States,federal,consumer_tcpa,https://www.fcc.gov/consumers
+18888355322,(888) 835-5322,888-835-5322,FCC TTY (1-888-TELL-FCC),regulator,United States,federal,tty,https://www.fcc.gov/consumers
+18772753342,(877) 275-3342,877-275-3342,FDIC Call Center (1-877-ASK-FDIC),regulator,United States,federal,consumer,https://www.fdic.gov/about/contact-fdic
+18882064662,(888) 206-4662,888-206-4662,FDIC Customer Assistance Online,regulator,United States,federal,consumer,https://www.fdic.gov/about/contact-fdic
+18006213362,(800) 621-3362,800-621-3362,FEMA Helpline,agency,United States,federal,main,https://www.fema.gov/about/contact
+18662083372,(866) 208-3372,866-208-3372,FERC Toll-free,regulator,United States,federal,consumer,https://www.ferc.gov/contact-us
+18008325660,(800) 832-5660,800-832-5660,FMCSA Toll-free,agency,United States,federal,consumer,https://www.fmcsa.dot.gov/contact-us
+18773824357,(877) 382-4357,877-382-4357,FTC Consumer Response Center (1-877-FTC-HELP),regulator,United States,federal,consumer,https://www.ftc.gov/about-ftc/contact
+12022673254,(202) 267-3254,202-267-3254,Federal Aviation Administration (FAA),agency,United States,federal,main,https://www.faa.gov/
+12023073198,(202) 307-3198,202-307-3198,Federal Bureau of Prisons (BOP),agency,United States,federal,main,https://www.bop.gov/contact/
+12024181000,(202) 418-1000,202-418-1000,Federal Communications Commission (FCC) - main,regulator,United States,federal,main,https://www.fcc.gov/about/contact
+12025026088,(202) 502-6088,202-502-6088,Federal Energy Regulatory Commission (FERC),regulator,United States,federal,main,https://www.ferc.gov/contact-us
+12026493800,(202) 649-3800,202-649-3800,Federal Housing Finance Agency (FHFA),regulator,United States,federal,main,https://www.fhfa.gov/contact
+12025235725,(202) 523-5725,202-523-5725,Federal Maritime Commission (FMC),regulator,United States,federal,main,https://www.fmc.gov/
+12023668810,(202) 366-8810,202-366-8810,Federal Motor Carrier Safety Administration (FMCSA),agency,United States,federal,main,https://www.fmcsa.dot.gov/contact-us
+12024936010,(202) 493-6010,202-493-6010,Federal Railroad Administration (FRA),agency,United States,federal,main,https://railroads.dot.gov/
+14044988500,(404) 498-8500,404-498-8500,Federal Reserve Bank of Atlanta,regulator,United States,federal,regional_bank,https://www.atlantafed.org/
+16179733000,(617) 973-3000,617-973-3000,Federal Reserve Bank of Boston,regulator,United States,federal,regional_bank,https://www.bostonfed.org/contact-us.aspx
+13123225322,(312) 322-5322,312-322-5322,Federal Reserve Bank of Chicago,regulator,United States,federal,regional_bank,https://www.chicagofed.org/
